l	sl	w	sw	air_Pre	air_Imp	build-Imp
22.17881793	75.41085931	70.36422	13.46863605	247859	72474.24391	65613.52191
10.11526463	82.22929504	32.14464541	18.48454422	74093	31259.50682	33138.53913
23.16625915	34.55275674	72.88676888	37.34415355	302249	136670.7487	100082.4691
22.84675033	28.07376013	57.86269707	31.37532515	285849	121017.7735	87505.39804
24.48476901	81.58853144	68.37327428	21.752246	128611	52517.95922	44861.3074
23.69874118	75.73046025	53.62701866	6.025991177	75590	10459.88393	13699.15978
21.18947145	83.38135184	67.10623382	21.89155907	234056	84501.04114	67540.43717
13.41703685	96.03160083	31.21475146	36.04568107	100504	71568.52647	70000.18986
19.69358386	65.70203997	20.97883172	30.99592492	191059	90873.49399	84554.8069
26.52867578	89.90057639	60.79254405	20.62042534	97637	42154.62658	38428.59743
12.69880951	54.31122729	27.2695793	34.25441461	208193	103972.6092	81635.06415
16.68592261	50.27385321	20.66992084	19.79747759	280338	96417.13147	84250.40081
23.87120336	62.80242125	23.26410635	13.88143002	64101	21097.03975	22478.44637
22.43335159	51.90691587	27.19649167	29.78545308	215444	96536.99984	76747.82819
20.83179631	57.4926754	63.21722393	13.58330703	209288	56418.51702	52809.88303
7.829188055	40.00633419	62.32563171	6.257638456	60488	8518.826514	11281.7645
12.04251234	58.24003314	73.5261675	29.25374084	153539	75465.12825	52694.81938
7.548498083	29.14428017	23.95659567	30.88368503	139726	75605.757	65073.52006
17.74739596	83.15142117	69.46780838	14.40765519	294315	89397.18705	73263.20068
14.07596942	74.38580404	46.41307012	32.08315889	204051	97526.28757	64843.37178
11.44776552	59.17618098	34.72655039	26.00553429	225272	91326.09014	61482.29739
14.22557534	78.34933455	28.26122676	5.146307905	78590	10857.25248	13006.92663
20.91552045	45.17111922	41.84607703	35.26105802	162065	92588.49013	68617.34394
19.96842913	74.18617555	31.9401884	6.758677343	236705	45695.10208	52224.07196
24.55784883	82.21085289	72.51844126	6.019312712	299008	59858.56236	67961.9507
13.96458877	64.77118264	69.67568489	18.68124154	177288	56782.18177	48965.04274
17.90051837	65.98609706	28.96756315	22.34754552	179287	67101.51553	60956.12436
12.1910335	22.14278513	76.98326818	25.20020075	260403	100765.3347	70052.55821
13.94852183	85.76932337	60.14539237	10.86510521	114189	25909.7342	30177.04288
14.92686346	23.20181541	28.13048568	35.83065383	227710	113838.1453	95813.14307
5.851521009	32.55570735	60.06569146	19.24336601	254800	86788.34646	8626.209792
